"Company","ProblemCount","Problems"
"American Express","22","3Sum | Bus Routes | Design HashMap | Find a Value of a Mysterious Function Closest to Target | Implement Stack using Queues | Linked List Cycle | Longest Increasing Subsequence | Maximize the Topmost Element After K Moves | Maximum Equal Frequency | Maximum XOR After Operations | Minimum Deletions to Make Character Frequencies Unique | Percentage of Letter in String | Reconstruct a 2-Row Binary Matrix | Reducing Dishes | Reorder Routes to Make All Paths Lead to the City Zero | Reorganize String | Search in Rotated Sorted Array | Sliding Window Maximum | Two Sum | Ugly Number III | Valid Palindrome | Word Break"
"Analytics Quotient","2","The Number of Users That Are Eligible for Discount | The Users That Are Eligible for Discount"
"Antino Labs Pvt Ltd","1","Linked List Cycle"
"Apollo 247","1","Number of Longest Increasing Subsequence"
"AppDynamics","2","Maximum Number of Balls in a Box | Number of Ways to Form a Target String Given a Dictionary"
"Apple","395","01 Matrix | 1-bit and 2-bit Characters | 3Sum | 3Sum Closest | 3Sum Smaller | 4 Sum | Accounts Merge | Add and Search Word - Data structure design | Add Strings | Add Two Integers | Add Two Numbers | Add Two Numbers II | All Nodes Distance K in Binary Tree | All Paths From Source to Target | All Possible Full Binary Trees | Amount of Time for Binary Tree to Be Infected | Array Nesting | Array Partition I | Article Views I | Assign Cookies | Average Selling Price | Average Time of Process per Machine | Backspace String Compare | Bag of Tokens | Basic Calculator II | Basic Calculator III | Battleships in a Board | Best Team With No Conflicts | Best Time to Buy and Sell Stock | Best Time to Buy and Sell Stock III | Best Time to Buy and Sell Stock IV | Best Time to Buy and Sell Stock with Cooldown | Best Time to Buy and Sell Stock with Transaction Fee | Big Countries | Biggest Single Number | Binary Search | Binary Subarrays With Sum | Binary Tree Cameras | Binary Tree Inorder Traversal | Binary Tree Level Order Traversal | Binary Tree Pruning | Binary Tree Right Side View | Binary Tree Zigzag Level Order Traversal | Binary Trees With Factors | Boats to Save People | Build a Matrix With Conditions | Build Array from Permutation | Bulb Switcher | Burst Balloons | Calculate Special Bonus | Candy | Capacity To Ship Packages Within D Days | Car Fleet | Cheapest Flights Within K Stops | Check if Numbers Are Ascending in a Sentence | Check If Two String Arrays are Equivalent | Coin Change 2 | Coin Change II | Combination Sum | Combination Sum IV | Combinations | Combine Two Tables | Complement of Base 10 Integer | Consecutive Characters | Consecutive Numbers | Container With Most Water | Contains Duplicate | Contains Duplicate III | Contiguous Array | Continuous Subarray Sum | Convert Sorted Array to Binary Search Tree | Copy List with Random Pointer | Count All Valid Pickup and Delivery Options | Count and Say | Count Different Palindromic Subsequences | Count Odd Numbers in an Interval Range | Count Primes | Count the Number of Incremovable Subarrays I | Count the Number of Incremovable Subarrays II | Counting Bits | Course Schedule | Course Schedule II | Create Maximum Number | Create Target Array in the Given Order | Customer Placing the Largest Number of Orders | Customer Who Visited but Did Not Make Any Transactions | Customers Who Bought All Products | Customers Who Never Order | Cut Off Trees for Golf Event | Day of the Week | Decode String | Decode Ways | Decompress Run-Length Encoded List | Deepest Leaves Sum | Delete Duplicate Emails | Department Highest Salary | Design Add and Search Words Data Structure | Design Bounded Blocking Queue | Design Circular Queue | Design HashMap | Design Hit Counter | Diameter of Binary Tree | Distribute Coins in Binary Tree | Edit Distance | Employee Free Time | Employee Importance | Employees Earning More Than Their Managers | Escape a Large Maze | Evaluate Boolean Binary Tree | Excel Sheet Column Number | Excel Sheet Column Title | Fibonacci Number | Final Value of Variable After Performing Operations | Find All Anagrams in a String | Find All Duplicates in an Array | Find All Numbers Disappeared in an Array | Find and Replace Pattern | Find Customer Referee | Find Duplicate File in System | Find Good Days to Rob the Bank | Find in Mountain Array | Find K Pairs with Smallest Sums | Find Largest Value in Each Tree Row | Find Median from Data Stream | Find Peak Element | Find Pivot Index | Find the Celebrity | Find the Difference | Find the Duplicate Number | Find the Highest Altitude | Find the Pivot Integer | Find the Town Judge | Find the Winner of an Array Game | First Bad Version | First Unique Character in a String | Fizz Buzz | Flatten Nested List Iterator | Flood Fill | Friend Circles | Frog Jump | Game of Life | Game Play Analysis I | Gas Station | Generate Parentheses | Goal Parser Interpretation | Group Anagrams | Group the People Given the Group Size They Belong To | Happy Number | Height Checker | H-Index | House Robber | Immediate Food Delivery II | Implement strStr() | Implement Trie | Implement Trie II (Prefix Tree) | Increasing Subsequences | Integer Break | Integer to English Words | Integer to Roman | Interleaving String | Intersection of Two Arrays | Invert Binary Tree | Jump Game | Jump Game II | Jump Game VI | K-diff Pairs in an Array | Kth Largest Element in an Array | Largest Color Value in a Directed Graph | Largest Number | Last Day Where You Can Still Cross | Lemonade Change | Letter Combinations of a Phone Number | Lexicographical Numbers | Lexicographically Smallest Equivalent String | LFU Cache | Logger Rate Limiter | Longest Common Prefix | Longest Consecutive Sequence | Longest Increasing Path in a Matrix | Longest Increasing Subsequence | Longest Increasing Subsequence II | Longest Palindrome by Concatenating Two Letter Words | Longest Palindromic Subsequence | Longest Palindromic Substring | Longest Substring Without Repeating Characters | Longest Uncommon Subsequence II | Lowest Common Ancestor of a Binary Search Tree | Lowest Common Ancestor of a Binary Tree | LRU Cache | Lucky Numbers in a Matrix | Majority Element | Majority Element II | Managers with at Least 5 Direct Reports | Max Area of Island | Max Chunks To Make Sorted II | Max Consecutive Ones | Max Consecutive Ones III | Maximal Rectangle | Maximum Depth of Binary Tree | Maximum Difference Between Increasing Elements | Maximum Earnings From Taxi | Maximum Frequency Stack | Maximum Number of Robots Within Budget | Maximum Product Difference Between Two Pairs | Maximum Profit in Job Scheduling | Maximum Rows Covered by Columns | Maximum Score from Performing Multiplication Operations | Maximum Score Of Spliced Array | Maximum Subarray | Median of Two Sorted Arrays | Meeting Scheduler | Merge In Between Linked Lists | Merge Intervals | Merge k Sorted Lists | Merge Sorted Array | Middle of the Linked List | Min Cost Climbing Stairs | Minimum Common Value | Minimum Genetic Mutation | Minimum Index Sum of Two Lists | Minimum Insertion Steps to Make a String Palindrome | Minimum Number of Moves to Make Palindrome | Minimum Number of Operations to Make Array Continuous | Minimum Number of Operations to Make Array Empty | Minimum Number of Refueling Stops | Minimum Number of Removals to Make Mountain Array | Minimum Number of Swaps to Make the String Balanced | Minimum Number of Taps to Open to Water a Garden | Minimum Operations to Make the Array Increasing | Minimum Operations to Reduce X to Zero | Minimum Path Sum | Minimum Score Triangulation of Polygon | Minimum Size Subarray Sum | Minimum Time to Collect All Apples in a Tree | Minimum Time to Complete Trips | Minimum Time Visiting All Points | Minimum Window Substring | Missing Number | Most Frequent Subtree Sum | Move Zeroes | Next Greater Element I | Next Greater Element II | Next Greater Element III | Next Permutation | Nth Digit | N-th Tribonacci Number | Number Complement | Number of 1 Bits | Number of Atoms | Number of Beautiful Integers in the Range | Number of Dice Rolls With Target Sum | Number of Good Leaf Nodes Pairs | Number of Islands | Number of Nodes in the Sub-Tree With the Same Label | Number of Segments in a String | Number of Squareful Arrays | Number of Steps to Reduce a Number to Zero | Number of Sub-arrays With Odd Sum | Number of Ways to Form a Target String Given a Dictionary | Ones and Zeroes | Pairs of Songs With Total Durations Divisible by 60 | Palindrome Linked List | Palindrome Number | Palindrome Pairs | Palindrome Partitioning | Partition Array Into Two Arrays to Minimize Sum Difference | Partition Equal Subset Sum | Partition List | Partitioning Into Minimum Number Of Deci-Binary Numbers | Pascal's Triangle | Peak Index in a Mountain Array | Peeking Iterator | Perfect Rectangle | Perfect Squares | Permutation in String | Permutations | Plus One | Populating Next Right Pointers in Each Node | Pow(x, n) | Power of Four | Power of Two | Product of Array Except Self | Product of the Last K Numbers | Random Pick with Weight | Range Sum of BST | Rank Scores | Ransom Note | Rearrange Products Table | Recover Binary Search Tree | Recyclable and Low Fat Products | Regular Expression Matching | Remove All Adjacent Duplicates in String II | Remove Comments | Remove Duplicate Letters | Remove Duplicates from Sorted Array | Remove Element | Remove Nth Node From End of List | Reordered Power of 2 | Reverse Bits | Reverse Integer | Reverse Linked List | Reverse Linked List II | Reverse String | Reverse Words in a String | Reverse Words in a String III | Roman to Integer | Root Equals Sum of Children | Rotate Function | Rotate Image | Rotate String | Same Tree | Satisfiability of Equality Equations | Search a 2D Matrix | Search a 2D Matrix II | Search in Rotated Sorted Array | Search in Rotated Sorted Array II | Search Insert Position | Search Suggestions System | Second Highest Salary | Sequential Digits | Serialize and Deserialize N-ary Tree | Set Matrix Zeroes | Shopping Offers | Shortest Distance to a Character | Shortest Palindrome | Shortest Path in a Grid with Obstacles Elimination | Shortest Path Visiting All Nodes | Shuffle an Array | Shuffle the Array | Similar String Groups | Simplify Path | Single Element in a Sorted Array | Single Number | Single Number II | Sliding Window Maximum | Smallest Even Multiple | Smallest Number in Infinite Set | Smallest Range Covering Elements from K Lists | Smallest Rotation with Highest Score | Smallest String Starting From Leaf | Sort Array By Parity | Sort Characters By Frequency | Sort Integers by The Number of 1 Bits | Sort List | Sort the People | Spiral Matrix | Spiral Matrix II | Split Array Largest Sum | Split Linked List in Parts | Sqrt(x) | String Compression | String to Integer (atoi) | String Transforms Into Another String | Subarray Sum Equals K | Subarrays with K Different Integers | Subsets | Substring with Concatenation of All Words | Sudoku Solver | Sum of All Odd Length Subarrays | Sum of Root To Leaf Binary Numbers | Sum of Subarray Minimums | Sum of Subarray Ranges | Sum of Total Strength of Wizards | Super Egg Drop | Super Ugly Number | Swap Nodes in Pairs | Swap Salary | Swim in Rising Water | Text Justification | The Earliest and Latest Rounds Where Players Compete | The Number of Seniors and Juniors to Join the Company | Third Maximum Number | Top K Frequent Elements | Top K Frequent Words | Total Distance Traveled | Transpose Matrix | Trapping Rain Water | Triangle Judgement | Two Sum | Two Sum II - Input array is sorted | Ugly Number | Unique Number of Occurrences | Unique Paths | Unique Substrings in Wraparound String | Valid Anagram | Valid Palindrome | Valid Palindrome II | Valid Parentheses | Valid Sudoku | Word Break | Word Break II | Word Ladder | Word Search II | Word Subsets | Zigzag Iterator"
"Apptad Inc.","1","Find First and Last Position of Element in Sorted Array"
"APT Portfolio","2","Peak Index in a Mountain Array | Stone Game VI"
"AQR Capital Management LLC","1","Jump Game VI"
"Arcesium","13","Broken Calculator | Candy | Count Collisions on a Road | Cycle Length Queries in a Tree | Frog Jump | Frog Position After T Seconds | LRU Cache | Maximize the Confusion of an Exam | Maximum Length of Subarray With Positive Product | Minimum Cost to Hire K Workers | Minimum Size Subarray Sum | Number of People Aware of a Secret | Search in Rotated Sorted Array"
"Aricent Technologies Limited","1","Linked List Cycle"
"Arista Networks","7","Binary Tree Inorder Traversal | Compare Version Numbers | Construct String With Repeat Limit | Inorder Successor in BST II | Missing Element in Sorted Array | Restore IP Addresses | Valid Parentheses"
"Asana","3","K Closest Points to Origin | Pow(x, n) | Product of Array Except Self"
"Ascend","1","Maximum Product of the Length of Two Palindromic Subsequences"
"Athenahealth","4","Degree of an Array | Linked List Cycle | The Number of Rich Customers | Unique Paths II"
"Atlassian","33","Arranging Coins | Best Time to Buy and Sell Stock | Cherry Pickup | Count Different Palindromic Subsequences | Count Palindromic Subsequences | Design Snake Game | Find the City With the Smallest Number of Neighbors at a Threshold Distance | Greatest Common Divisor of Strings | High-Access Employees | Lemonade Change | Letter Combinations of a Phone Number | Logger Rate Limiter | Longest Increasing Subsequence | Majority Element II | Make Lexicographically Smallest Array by Swapping Elements | Maximum Path Quality of a Graph | Median of Two Sorted Arrays | Minimum Cost to Connect Sticks | Minimum Cost to Convert String I | Minimum Cost to Convert String II | Minimum Number of Taps to Open to Water a Garden | Minimum Time to Visit a Cell In a Grid | Number of Possible Sets of Closing Branches | Number of Ways to Form a Target String Given a Dictionary | Online Election | Permutations | Rank Teams by Votes | Single Number | Smallest Missing Non-negative Integer After Operations | String Transformation | Unique Paths | Unique Paths II | Verbal Arithmetic Puzzle"
"Attentive AI Solutions Pvt Ltd.","1","Implement Stack using Queues"
"Audible","1","Leetflex Banned Accounts"
"Audibles","1","Reorder Data in Log Files"
"Auzmor","1","Reverse Linked List II"
"Avalara","2","Abbreviating the Product of a Range | Minimum Number of Taps to Open to Water a Garden"
"Baidu","4","Arithmetic Slices II - Subsequence | Length of Longest Fibonacci Subsequence | Out of Boundary Paths | Zuma Game"
"Bajaj Electricals Ltd","1","Longest Increasing Subsequence"
"Bank Of America","1","Reverse Linked List II"
"BankBazaar","3","Copy List with Random Pointer | Longest Increasing Subsequence | Search in Rotated Sorted Array"
"Barclays","11","Coin Change II | Count of Matches in Tournament | Double Modular Exponentiation | Furthest Point From Origin | Interleaving String | Linked List Cycle | Longest Increasing Subsequence | Maximum Employees to Be Invited to a Meeting | Minimum Number of Refueling Stops | Permutations | Valid Parentheses"
"Betsol","1","Majority Element II"
"Bharti Airtel","2","Implement Stack using Queues | Linked List Cycle"
"Big Basket","2","Implement Stack using Queues | Longest Palindromic Substring"
"BirdEye","4","Linked List Cycle | Longest Increasing Subsequence | Permutations | Reverse Linked List II"
"BitGo","1","Check if an Original String Exists Given Two Encoded Strings"
"Biz2","1","Longest Palindromic Substring"
"BlackNgreen","1","Reverse Linked List II"
"BlackRock","5","Evaluate Division | Group Anagrams | Linked List Cycle | Reverse Linked List II | Shortest Path in Binary Matrix"
"Bloomberg","347","01 Matrix | 3Sum | 4Sum II | Add Digits | Add Strings | Add Two Integers | Add Two Numbers | Add Two Numbers II | Alien Dictionary | All Elements in Two Binary Search Trees | All Paths From Source to Target | All Possible Full Binary Trees | Allocate Mailboxes | Amount of Time for Binary Tree to Be Infected | Arithmetic Slices | Arithmetic Subarrays | Arranging Coins | Article Views I | Average Time of Process per Machine | Backspace String Compare | Bag of Tokens | Best Time to Buy and Sell Stock | Best Time to Buy and Sell Stock II | Big Countries | Binary Search | Binary Search Tree Iterator | Binary Tree Inorder Traversal | Binary Tree Level Order Traversal | Binary Tree Maximum Path Sum | Binary Tree Paths | Binary Tree Right Side View | Binary Tree Vertical Order Traversal | Binary Tree Zigzag Level Order Traversal | Binary Trees With Factors | Boats to Save People | Boundary of Binary Tree | Brick Wall | Burst Balloons | Calculate Amount Paid in Taxes | Can Place Flowers | Candy | Candy Crush | Capacity To Ship Packages Within D Days | Car Fleet | Car Pooling | Cheapest Flights Within K Stops | Check if All the Integers in a Range Are Covered | Climbing Stairs | Clone Graph | Coin Change | Coin Change 2 | Coin Change II | Combination Sum | Combination Sum II | Combination Sum IV | Combinations | Combine Two Tables | Consecutive Numbers Sum | Construct Binary Search Tree from Preorder Traversal | Construct Binary Tree from Preorder and Inorder Traversal | Construct the Rectangle | Contain Virus | Container With Most Water | Contains Duplicate | Contains Duplicate II | Convert BST to Greater Tree | Copy List with Random Pointer | Count Integers in Intervals | Count Numbers with Unique Digits | Count Square Submatrices with All Ones | Count Unhappy Friends | Count Unique Characters of All Substrings of a Given String | Counting Bits | Couples Holding Hands | Course Schedule | Course Schedule III | Critical Connections in a Network | Customers Who Never Order | Decode String | Decode Ways | Design A Leaderboard | Design Add and Search Words Data Structure | Design an Ordered Stream | Design Bitset | Design Bounded Blocking Queue | Design Browser History | Design Underground System | Diameter of Binary Tree | Different Ways to Add Parentheses | Divide Two Integers | Divisor Game | Dot Product of Two Sparse Vectors | Edit Distance | Elimination Game | Employees Earning More Than Their Managers | Encode and Decode TinyURL | Evaluate Division | Even Odd Tree | Exchange Seats | Extra Characters in a String | Final Value of Variable After Performing Operations | Find All Anagrams in a String | Find All People With Secret | Find Duplicate Subtrees | Find Eventual Safe States | Find First and Last Position of Element in Sorted Array | Find First Palindromic String in the Array | Find in Mountain Array | Find K Closest Elements | Find Median from Data Stream | Find Polygon With the Largest Perimeter | Find Root of N-Ary Tree | Find Smallest Letter Greater Than Target | Find the Duplicate Number | Find the Kth Smallest Sum of a Matrix With Sorted Rows | Find the Winner of an Array Game | Find the Winner of the Circular Game | First Unique Character in a String | Flatten a Multilevel Doubly Linked List | Flood Fill | Friend Circles | Frog Jump | Game of Life | Game Play Analysis I | Gas Station | Generate Parentheses | Group the People Given the Group Size They Belong To | Guess Number Higher or Lower | Guess the Word | House Robber | Image Overlap | Insert Delete GetRandom O(1) | Integer Break | Integer Replacement | Integer to Roman | Interleaving String | Intersection of Two Arrays | Intersection of Two Arrays II | Interval List Intersections | Invalid Transactions | Invert Binary Tree | Is Subsequence | Jump Game | Jump Game II | K-diff Pairs in an Array | Knight Dialer | Kth Largest Element in an Array | Kth Largest Sum in a Binary Tree | Kth Smallest Element in a Sorted Matrix | K-th Symbol in Grammar | Largest Rectangle in Histogram | Left and Right Sum Differences | Letter Combinations of a Phone Number | Lexicographical Numbers | Linked List Cycle | Longest Common Prefix | Longest Common Subsequence | Longest Consecutive Sequence | Longest Increasing Subsequence | Longest Mountain in Array | Longest Palindromic Subsequence | Longest Palindromic Substring | Longest Substring Without Repeating Characters | LRU Cache | Majority Element | Majority Element II | Making A Large Island | Managers with at Least 5 Direct Reports | Matrix Diagonal Sum | Max Chunks To Make Sorted II | Max Consecutive Ones III | Maximum Count of Positive Integer and Negative Integer | Maximum Depth of Binary Tree | Maximum Employees to Be Invited to a Meeting | Maximum Length of Pair Chain | Maximum Nesting Depth of the Parentheses | Maximum Number of Accepted Invitations | Maximum Population Year | Maximum Product of Word Lengths | Maximum Product Subarray | Maximum Score From Removing Stones | Maximum Strength of a Group | Maximum Subarray | Maximum Width of Binary Tree | Maximum XOR of Two Numbers in an Array | Median of Two Sorted Arrays | Meeting Rooms II | Meeting Scheduler | Merge Intervals | Merge k Sorted Lists | Merge Sorted Array | Merge Two Sorted Lists | Min Cost Climbing Stairs | Min Stack | Minesweeper | Minimize the Total Price of the Trips | Minimum Absolute Difference in BST | Minimum Depth of Binary Tree | Minimum Distance Between BST Nodes | Minimum Genetic Mutation | Minimum Number of Days to Eat N Oranges | Minimum Number of Steps to Make Two Strings Anagram | Minimum Remove to Make Valid Parentheses | Minimum Size Subarray Sum | Minimum Time Visiting All Points | Minimum Total Distance Traveled | Mirror Reflection | Move Zeroes | Next Greater Element I | Next Greater Element II | Next Greater Element III | Next Greater Node In Linked List | Next Permutation | Non-decreasing Array | N-Queens | Nth Highest Salary | Number of Dice Rolls With Target Sum | Number of Distinct Islands | Number of Distinct Substrings in a String | Number of Islands | Number of Longest Increasing Subsequence | Number of Nodes in the Sub-Tree With the Same Label | Number of Recent Calls | Number of Ships in a Rectangle | Number of Ways to Arrive at Destination | Numbers With Same Consecutive Differences | Online Stock Span | Pairs of Songs With Total Durations Divisible by 60 | Palindrome Linked List | Palindrome Number | Partition Array Into Two Arrays to Minimize Sum Difference | Partition List | Path In Zigzag Labelled Binary Tree | Peak Index in a Mountain Array | Permutation in String | Permutations | Play with Chips | Populating Next Right Pointers in Each Node | Populating Next Right Pointers in Each Node II | Possible Bipartition | Pow(x, n) | Product of Array Except Self | Pseudo-Palindromic Paths in a Binary Tree | Push Dominoes | Reaching Points | Rearrange Products Table | Recover Binary Search Tree | Recyclable and Low Fat Products | Regular Expression Matching | Remove All Adjacent Duplicates in String II | Remove Duplicates from Sorted Array | Remove Duplicates from Sorted List | Remove K Digits | Remove Letter To Equalize Frequency | Remove Nodes From Linked List | Remove Nth Node From End of List | Remove Palindromic Subsequences | Reorder List | Reshape the Matrix | Reverse Integer | Reverse Linked List | Reverse Nodes in k-Group | Reverse Subarray To Maximize Array Value | Reverse Vowels of a String | Reverse Words in a String III | Rising Temperature | Robot Bounded In Circle | Roman to Integer | Rotate Image | Rotate List | Sales Person | Same Tree | Score of Parentheses | Search a 2D Matrix | Search a 2D Matrix II | Search in Rotated Sorted Array | Search Insert Position | Self Dividing Numbers | Serialize and Deserialize N-ary Tree | Set Matrix Zeroes | Shift 2D Grid | Shortest Common Supersequence | Shortest Distance to a Character | Shortest Distance to Target String in a Circular Array | Shortest Palindrome | Shortest Path in a Grid with Obstacles Elimination | Shortest Path to Get Food | Shortest Path Visiting All Nodes | Shortest Path with Alternating Colors | Single Number | Sliding Window Maximum | Smallest Range Covering Elements from K Lists | Sort an Array | Sort Array By Parity | Sort Characters By Frequency | Sort Integers by The Power Value | Special Positions in a Binary Matrix | Split a String in Balanced Strings | Split Array into Consecutive Subsequences | Sqrt(x) | String Matching in an Array | String to Integer (atoi) | Subarray Sum Equals K | Subsets | Subsets II | Substring With Largest Variance | Sum of Left Leaves | Sum of Mutated Array Closest to Target | Sum of Square Numbers | Sum of Subarray Minimums | Sum Root to Leaf Numbers | Super Ugly Number | Surrounded Regions | Swap Nodes in Pairs | Swapping Nodes in a Linked List | Symmetric Tree | Target Sum | Toeplitz Matrix | Top K Frequent Elements | Top K Frequent Words | Trapping Rain Water | Trips and Users | Truncate Sentence | Two City Scheduling | Two Sum | Ugly Number | Unique Binary Search Trees II | Unique Number of Occurrences | Unique Paths | Unique Paths II | User Activity for the Past 30 Days I | Valid Anagram | Valid Palindrome | Valid Palindrome II | Valid Parentheses | Valid Triangle Number | Valid Word Square | Validate Binary Search Tree | Vertical Order Traversal of a Binary Tree | Walls and Gates | Web Crawler | Wiggle Subsequence | Word Break | Word Break II | Word Search | XOR Operation in an Array | Zuma Game"
"Bloomreach","3","Letter Combinations of a Phone Number | Maximum Nesting Depth of Two Valid Parentheses Strings | Reverse Linked List II"
"Blue Yonder","2","Implement Stack using Queues | Letter Combinations of a Phone Number"
"BNY Mellon","6","Add Two Numbers II | Find the Duplicate Number | Linked List Cycle | Minimum Number of Taps to Open to Water a Garden | Missing Number In Arithmetic Progression | Unique Paths"
"BNY Melon","4","Count Visited Nodes in a Directed Graph | Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts | Minimum Number of Groups to Create a Valid Assignment | Sum of Distances"
"Bolt","5","Check if All Characters Have Equal Number of Occurrences | Reverse Words in a String III | Subarray Sum Equals K | Word Pattern | Word Pattern II"
"Bonami Software Pvt. Ltd","1","Longest Increasing Subsequence"
"Booking.com","14","Additive Number | Backspace String Compare | Coloring A Border | Count Number of Nice Subarrays | Delete Duplicate Folders in System | Integer to English Words | K Highest Ranked Items Within a Price Range | Least Number of Unique Integers after K Removals | Longest Increasing Subsequence | Order Two Columns Independently | Reward Top K Students | Sliding Window Maximum | Two Out of Three | Valid Parentheses"
"Born group","1","Linked List Cycle"
"Box","2","Number of 1 Bits | Word Ladder II"
"Brex","1","Basic Calculator III"
"Bridgewater Associates","2","132 Pattern | Count Strictly Increasing Subarrays"
"Bristlecone","2","Add Two Numbers II | Linked List Cycle"
"Brocade","1","Counting Bits"
"Browserstack","1","Spiral Matrix"
"BT Group","1","Minimum Number Game"
"Bunzo","1","Is Graph Bipartite?"
"BYJUS","8","All Nodes Distance K in Binary Tree | Interleaving String | Longest Increasing Subsequence | Longest Palindromic Substring | Median of Two Sorted Arrays | Partition List | Peak Index in a Mountain Array | Unique Paths"
"Byte Bonding Tech","1","Sliding Window Maximum"
"Bytedance","70","01 Matrix | 3Sum | Add and Search Word - Data structure design | Add Two Numbers II | Basic Calculator | Basic Calculator II | Best Time to Buy and Sell Stock | Best Time to Buy and Sell Stock II | Binary Tree Maximum Path Sum | Closest Dessert Cost | Coin Change II | Combination Sum | Construct Binary Tree from Preorder and Inorder Traversal | Continuous Subarray Sum | Course Schedule II | Decode String | Find All Good Indices | Find First and Last Position of Element in Sorted Array | Find Median from Data Stream | First Day Where You Have Been in All the Rooms | Frog Jump | Generate Parentheses | Implement Trie | K Inverse Pairs Array | K-Similar Strings | Kth Largest Element in an Array | Kth Smallest Element in a Sorted Matrix | K-th Smallest in Lexicographical Order | Largest Rectangle in Histogram | Lexicographical Numbers | Longest Increasing Subsequence | Longest Valid Parentheses | LRU Cache | Max Consecutive Ones III | Maximal Square | Maximum Subarray | Maximum Sum of Two Non-Overlapping Subarrays | Maximum Swap | Median of Two Sorted Arrays | Merge Intervals | Merge k Sorted Lists | Minimum Sideway Jumps | Next Permutation | N-Queens | N-Queens II | Number of Dice Rolls With Target Sum | Number of Good Leaf Nodes Pairs | Number of Islands | Number of Ways of Cutting a Pizza | Open the Lock | Permutation in String | Permutations | Plus One | Possible Bipartition | Remove Comments | Restore IP Addresses | Reverse Nodes in k-Group | Search in Rotated Sorted Array | Shortest Path to Get All Keys | Sliding Window Maximum | Smallest Subsequence of Distinct Characters | Sort List | Split Array Largest Sum | Sum Game | Summary Ranges | The Maze | The Maze II | The Number of Weak Characters in the Game | Unique Paths | Word Break"
"C2FO","1","Unique Paths II"
"C3 IoT","8","Binary Subarrays With Sum | Count Vowels Permutation | Daily Temperatures | Generate Parentheses | Group the People Given the Group Size They Belong To | Pairs of Songs With Total Durations Divisible by 60 | Reaching Points | Sort Array by Increasing Frequency"
"C3.ai","1","Minimum Number of Frogs Croaking"
"CaaStle","1","Word Break"
"Cadance Design","1","Add Two Numbers II"
"Cadance Design System","1","Pow(x, n)"
"Cadence Design","1","Counting Bits"
"Cadence Design Systems","2","Linked List Cycle | Maximum Length of Pair Chain"
"Canonical","1","Divide a String Into Groups of Size k"
"Capgemini","11","Coin Change II | Design HashSet | Find the Duplicate Number | Interleaving String | Linked List Cycle | Maximum Length of Pair Chain | Number of Unique Subjects Taught by Each Teacher | Pascal's Triangle | Reorganize String | Reverse Linked List II | Search in Rotated Sorted Array"
"Capgemini India","1","Word Break"
"Capgemini India Pvt. Ltd.","1","Longest Increasing Subsequence"
"Capital One","19","Add Two Numbers | Add Two Numbers II | Best Time to Buy and Sell Stock | Candy Crush | Count Primes | Four Divisors | Get Biggest Three Rhombus Sums in a Grid | Integer to Roman | Letter Combinations of a Phone Number | License Key Formatting | Meeting Scheduler | Restore the Array From Adjacent Pairs | Reverse Nodes in k-Group | Rotating the Box | Snakes and Ladders | Split Message Based on Limit | Summary Ranges | Text Justification | Two Sum Less Than K"
"Capmint","1","Maximum Number of Events That Can Be Attended"
"Careem","1","Pow(x, n)"
"Carefit","1","Word Break"
"Cargo Flash pvt","1","Copy List with Random Pointer"
"Cars 24","1","Copy List with Random Pointer"
"CashFree","2","House Robber IV | Maximum Erasure Value"
"Cashfree Payments","2","Sliding Window Maximum | Unique Paths"
"Cashify","1","Reverse Linked List II"
"CashKaro.com","1","Unique Paths"
"Cerner Corporation","2","Asteroid Collision | Candy"
"CGI Inc.","3","Frog Jump | Longest Increasing Subsequence | Pow(x, n)"
"Chaayos","2","Linked List Cycle | Reverse Linked List II"
"Chegg","3","Asteroid Collision | Longest Increasing Subsequence | Min Cost to Connect All Points"
"Chewy","3","Longest Increasing Subsequence | Reaching Points | Robot Bounded In Circle"
"Cisco","50","3Sum | Add Two Numbers II | Beautiful Arrangement | Best Time to Buy and Sell Stock | Binary Tree Cameras | Cheapest Flights Within K Stops | Check if Binary String Has at Most One Segment of Ones | Cherry Pickup | Coin Change 2 | Coin Change II | Counting Bits | Decode String | Decode Ways | Expressive Words | Find Pivot Index | Find the Duplicate Number | Find the Highest Altitude | First Bad Version | Group Anagrams | House Robber | Implement Stack using Queues | Interleaving String | Kth Largest Element in an Array | Letter Combinations of a Phone Number | Linked List Cycle | Maximum Difference Between Increasing Elements | Maximum Population Year | Maximum Product of Two Elements in an Array | Maximum Subarray | Merge Intervals | Minimum Insertion Steps to Make a String Palindrome | Number of 1 Bits | Number of Equal Count Substrings | Pairs of Songs With Total Durations Divisible by 60 | Predict the Winner | Reverse Linked List II | Reverse Words in a String III | Rotate Image | Search a 2D Matrix | Search in Rotated Sorted Array | Sliding Window Maximum | Sort Array By Parity | Spiral Matrix | Sum of k-Mirror Numbers | Top K Frequent Elements | Unique Paths | Unique Paths II | Valid Parentheses | Validate IP Address | Word Search II"
